id,idNumber,name,isPresent,isIncluded,timesSelected,timesAnswered,timesCorrect
1,ID-001,Rina Saputra,1,1,2,2,0
2,ID-002,Rina Saputri,1,1,2,2,2
3,ID-003,Eka Astuti,1,1,1,0,0
4,ID-004,Hendra Riyadi,1,1,2,0,0
5,ID-005,Rina Mulyadi,1,1,1,0,0
6,ID-006,Nina Suharto,1,1,0,0,0
7,ID-007,Dewi Wibowo,1,1,2,2,0
8,ID-008,Wahyu Utomo,1,1,3,3,1
9,ID-009,Budi Pratiwi,1,1,1,1,1
10,ID-010,Citra Sari,1,1,0,0,0
11,ID-011,Yulia Rahayu,1,1,3,2,1
12,ID-012,Vina Wijaya,1,1,2,0,0
13,ID-013,Yulia Yulianto,1,1,2,0,0
14,ID-014,Oscar Suharto,1,1,0,0,0
15,ID-015,Kartika Rahman,1,1,0,0,0
16,ID-016,Ahmad Kurniawan,1,1,4,4,0
17,ID-017,Citra Riyadi,1,1,4,1,0
18,ID-018,Dewi Pratama,1,1,0,0,0
19,ID-019,Gita Anggraini,1,1,3,1,0
20,ID-020,Chandra Nugroho,1,1,4,0,0
21,ID-021,Oscar Astuti,1,1,1,1,0
22,ID-022,Fajar Hidayat,1,1,1,1,0
23,ID-023,Adit Wibowo,1,1,3,3,1
24,ID-024,Fajar Permana,1,1,2,1,1
25,ID-025,Chandra Sari,1,1,5,2,0
26,ID-026,Hendra Kurniawan,1,1,5,0,0
27,ID-027,Joko Rahayu,1,1,4,2,2
28,ID-028,Budi Susanto,1,1,5,3,2
29,ID-029,Endang Susanto,1,1,1,0,0
30,ID-030,Nina Pratiwi,1,1,5,4,4
31,ID-031,Endang Astuti,1,1,3,0,0
32,ID-032,Indah Kurniawan,1,1,1,0,0
33,ID-033,Tono Kurniawan,1,1,4,4,4
34,ID-034,Bayu Kusuma,1,1,3,3,1
35,ID-035,Nina Mulyadi,1,1,4,3,2
36,ID-036,Putri Sari,1,1,0,0,0
37,ID-037,Fajar Setiawan,1,1,0,0,0
38,ID-038,Tono Salim,1,1,0,0,0
39,ID-039,Dian Saputri,1,1,2,2,2
40,ID-040,Eka Wibowo,1,1,2,1,1
41,ID-041,Lestari Susanto,1,1,5,0,0
42,ID-042,Nina Santoso,1,1,5,0,0
43,ID-043,Ahmad Pratiwi,1,1,4,3,1
44,ID-044,Dewi Yulianto,1,1,5,1,1
45,ID-045,Adit Wahyuni,1,1,0,0,0
46,ID-046,Chandra Anggraini,1,1,3,2,1
47,ID-047,Fitri Suharto,1,1,0,0,0
48,ID-048,Endang Yulianto,1,1,4,4,4
49,ID-049,Wahyu Mulyadi,1,1,5,5,2
50,ID-050,Mega Wibowo,1,1,5,0,0
51,ID-051,Ahmad Suharto,1,1,3,3,1
52,ID-052,Zainal Salim,1,1,2,0,0
53,ID-053,Gita Susanto,1,1,3,2,0
54,ID-054,Lestari Indrawan,1,1,1,0,0
55,ID-055,Chandra Salim,1,1,1,0,0
56,ID-056,Hendra Permana,1,1,1,1,0
57,ID-057,Citra Riyadi,1,1,1,1,0
58,ID-058,Wahyu Salim,1,1,2,2,0
59,ID-059,Putri Rahman,1,1,5,5,3
60,ID-060,Yulia Suharto,1,1,1,1,1
61,ID-061,Vina Purnomo,1,1,1,1,1
62,ID-062,Budi Indrawan,1,1,4,3,3
63,ID-063,Kartika Astuti,1,1,4,4,1
64,ID-064,Fitri Suharto,1,1,1,1,1
65,ID-065,Fajar Indrawan,1,1,4,4,1
66,ID-066,Nina Purnomo,1,1,3,2,2
67,ID-067,Dian Sari,1,1,3,0,0
68,ID-068,Fitri Wibowo,1,1,1,0,0
69,ID-069,Kartika Utomo,1,1,3,3,0
70,ID-070,Endang Handayani,1,1,5,3,3
71,ID-071,Budi Hidayat,1,1,4,1,1
72,ID-072,Vina Saputra,1,1,2,2,1
73,ID-073,Indah Utomo,1,1,3,2,0
74,ID-074,Hendra Nugroho,1,1,4,3,1
75,ID-075,Budi Hidayat,1,1,3,1,1
76,ID-076,Bayu Hidayat,1,1,3,1,0
77,ID-077,Budi Susanto,1,1,5,5,0
78,ID-078,Chandra Indrawan,1,1,5,0,0
79,ID-079,Indah Setiawan,1,1,2,0,0
80,ID-080,Tono Wahyuni,1,1,3,2,1

